gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	cluster_1	background
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC035953E6B	0.017	0.006
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC0BD4C290F	1.555	0.659
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC053BBE2B1	0.681	0.204
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC08BF895FC	0.02	0.01
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC0D7F33CFB	0.06	0.023
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC004A436C5	0.576	0.253
SEMA7A	O75326	False	SEM7A_HUMAN		CPI-SC0EAF80261	0.027	0.005
FN1	P02751	False	FINC_HUMAN		CPI-SC04F2478E9	59.752	20.135
THBS1	P07996	False	TSP1_HUMAN		CPI-SC02BFEEC8A	0.146	0.074
CSPG4	Q6UVK1	False	CSPG4_HUMAN		CPI-SC09938698A	0.494	0.184
FN1	P02751	False	FINC_HUMAN		CPI-SC08B2AD7C6	59.752	20.135
CD40LG	P29965	False	CD40L_HUMAN		CPI-SC0C8B4C056	0.024	0.003
PLA2G2A	P14555	False	PA2GA_HUMAN		CPI-SC062C5C6C2	5.537	3.277
FBN1	P35555	False	FBN1_HUMAN		CPI-SC058F72F90	0.93	0.404
FN1	P02751	False	FINC_HUMAN		CPI-SC092C3E4DF	59.752	20.135
TNC	P24821	False	TENA_HUMAN		CPI-SC01195CB48	1.775	0.409
FN1	P02751	False	FINC_HUMAN		CPI-SC096929DB0	59.752	20.135
FN1	P02751	False	FINC_HUMAN		CPI-SC0847A64D2	59.752	20.135
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC0EEF3A379	0.193	0.077
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC0A2FE9693	0.193	0.077
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.043	0.017
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.374	0.087
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.562	0.132
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.102	0.056
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.043	0.017
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.068	0.028
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.043	0.017
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.374	0.087
SPP1	P10451	False	OSTP_HUMAN		CPI-SC01AB9BED7	0.374	0.087
TNC	P24821	False	TENA_HUMAN		CPI-SC056BF6CBB	1.775	0.409
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC062D34C2A	2.339	0.767
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.438	0.129
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.093	0.051
THY1	P04216	False	THY1_HUMAN		CPI-SC0A05D3880	1.46	0.7
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0B6D68FD5	0.644	0.065
C3	P01024	False	CO3_HUMAN		CPI-SC0527EEE7A	3.987	0.881
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SC0F9DD28F3	0.126	0.056
THY1	P04216	False	THY1_HUMAN		CPI-SC0C6B54D7A	1.46	0.7
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0A9458008	0.644	0.065
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.059	0.029
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.126	0.056
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.937	0.336
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.113	0.062
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.113	0.062
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	17.978	4.053
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.113	0.062
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.825	0.349
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.294	0.075
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.113	0.062
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	17.978	4.053
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.113	0.062
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	1.752	0.488
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.275	0.062
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.497	0.088
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.022	0.003
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	17.978	4.053
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.644	0.065
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.644	0.065
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0F4AC5AA2	0.644	0.065
ICAM2	P13598	False	ICAM2_HUMAN		CPI-SC063BC3DDE	0.172	0.077
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SC0329D5397	0.305	0.059
ICAM4	Q14773	False	ICAM4_HUMAN		CPI-SC092659F65	0.009	0.002
F11R	Q9Y624	False	JAM1_HUMAN		CPI-SC08923F7F7	0.061	0.018
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.287	0.133
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.236	0.063
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.287	0.133
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.236	0.063
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.06	0.032
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.287	0.133
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.06	0.032
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.02	0.005
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	0.287	0.133
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	0.236	0.063
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	0.236	0.063
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.054	0.008
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.689	0.202
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0A3569604	0.059	0.077
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0579FA162	0.059	0.077
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.568	0.266
IGF2	P01344	False	IGF2_HUMAN		CPI-SS042A6F835	0.059	0.077
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	3.954	1.4
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.679	0.205
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	0.104	0.029
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.333	0.127
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.058	0.006
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	0.562	0.132
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.058	0.006
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.058	0.006
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	1.409	0.35
TNF	P01375	False	TNFA_HUMAN		CPI-SS09C917D22	0.058	0.006
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.058	0.006
ICOSLG	O75144	False	ICOSL_HUMAN		CPI-SS0E4B1484B	0.047	0.01
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.058	0.006
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.058	0.006
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.058	0.006
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.058	0.006
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.613	0.127
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS003610FF9	0.052	0.007
CCRL2	O00421	False	CCRL2_HUMAN		CPI-SS056BE1011	0.058	0.012
CCR7	P32248	False	CCR7_HUMAN		CPI-SS098EFF959	0.096	0.015
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0DBA4D668	0.027	0.014
ACKR3	P25106	False	ACKR3_HUMAN		CPI-SS07155793F	0.557	0.266
CD40	P25942	False	TNR5_HUMAN		CPI-SS083296041	0.497	0.088
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	1.045	0.401
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.174	0.049
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS05FEE05CB	0.036	0.022
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0C4D54E39	0.505	0.327
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.174	0.049
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.466	0.18
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0CF0E4DE9	0.818	0.096
CCL2	P13500	False	CCL2_HUMAN		CPI-SS08B249DBA	0.818	0.096
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	1.359	0.038
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	0.037	0.01
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	1.359	0.038
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0EFE0B07A	5.557	2.544
CCL21	O00585	False	CCL21_HUMAN		CPI-SS06C0074BD	0.063	0.051
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BC7CD11B	0.562	0.132
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.562	0.132
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.122	0.031
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	0.315	0.079
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	0.562	0.132
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	0.563	0.15
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0A9FB762A	0.562	0.132
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	0.562	0.132
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS08877A081	0.562	0.132
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	0.562	0.132
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	0.562	0.132
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	0.315	0.079
WISP3	O95389	False	WISP3_HUMAN		CPI-SS0D3C90DDA	0.126	0.026
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS048346C2B	0.562	0.132
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	0.122	0.031
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0FEEB187C	0.122	0.031
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	0.051	0.021
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SC033E22B14	0.122	0.031
GDF11	O95390	False	GDF11_HUMAN		CPI-SS0331C5A49	0.038	0.012
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS0179FBFD3	0.019	0.004
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0898D7F7F	0.126	0.039
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS07833475A	0.4	0.188
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.047	0.027
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	0.023	0.008
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.072	0.032
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.024	0.018
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.217	0.118
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0837E9F59	0.217	0.118
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	0.217	0.118
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0BFB29A42	1.409	0.35
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS08FAC0A55	1.409	0.35
PLXNB1	O43157	False	PLXB1_HUMAN		CPI-SS0CCCF7C69	0.052	0.02
CD72	P21854	False	CD72_HUMAN		CPI-SS06AA638A8	0.032	0.009
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	0.107	0.022
MIF	P14174	False	MIF_HUMAN		CPI-SS02ACCF1F7	0.31	0.063
BTLA	Q7Z6A9	False	BTLA_HUMAN		CPI-SS08330207B	0.013	0.002
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS095E52E66	0.613	0.127
MIF	P14174	False	MIF_HUMAN		CPI-SS059EEFDC6	0.31	0.063
GDF11	O95390	False	GDF11_HUMAN		CPI-SC001669E22	0.038	0.012
GDF11	O95390	False	GDF11_HUMAN		CPI-SC017215F7F	0.038	0.012
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SC098C06330	0.438	0.129
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0D5CFA431	0.093	0.051
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SC0984894BC	0.438	0.129
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0077CEB82	0.093	0.051
CCR2	P41597	False	CCR2_HUMAN		CPI-SS09AFCF898	0.194	0.022
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0F8C2FA91	0.122	0.031
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0DFAF1FE2	0.075	0.012
CCR2	P41597	False	CCR2_HUMAN		CPI-SS0C98C08DA	0.194	0.022
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0B887F7AC	0.122	0.031
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	5.557	2.544
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	0.018	0.006
IGF1	P05019	False	IGF1_HUMAN		CPI-SC0A68C5F13	0.568	0.266
TNFSF11	O14788	False	TNF11_HUMAN		CPI-SS0ED2573CA	0.026	0.014
PLD2	O14939	False	PLD2_HUMAN		CPI-SS06A999D25	0.104	0.036
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	0.189	0.016
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS090FC28E1	0.031	0.009
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0B9E8C0DE	0.078	0.017
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.031	0.009
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0111AAD26	0.078	0.017
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.024	0.01
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.028	0.014
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0586F2596	0.078	0.017
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.024	0.018
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.689	0.202
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SS0A2949959	0.305	0.059
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS079DDF890	0.201	0.073
TNFSF15	O95150	False	TNF15_HUMAN		CPI-SS0B0CF0EDF	0.102	0.027
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.201	0.073
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.107	0.022
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS02371A6D6	0.107	0.022
PLXNC1	O60486	False	PLXC1_HUMAN		CPI-SS02B567BC7	0.082	0.031
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS0A874F65F	0.055	0.034
LRP6	O75581	False	LRP6_HUMAN		CPI-SS05B1FA8A8	0.045	0.023
COPA	P53621	False	COPA_HUMAN		CPI-SS065F7DA2A	0.679	0.205
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS09A3FA737	0.439	0.106
C3	P01024	False	CO3_HUMAN		CPI-SS03E48EFEA	3.987	0.881
ADORA3	P0DMS8	False	AA3R_HUMAN		CPI-SS0FF6CFDCA	0.184	0.048
ADORA1	P30542	False	AA1R_HUMAN		CPI-SS03E7587E4	0.037	0.014
C5	P01031	False	CO5_HUMAN		CPI-SS00581282E	0.02	0.011
C5	P01031	False	CO5_HUMAN		CPI-SS0A7E3A1AF	0.02	0.011
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	1.77	0.655
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS06CCF5A54	1.77	0.655
CD2	P06729	False	CD2_HUMAN		CPI-SS00B1BEE64	0.232	0.044
PROS1	P07225	False	PROS_HUMAN		CPI-SS0C85BC9AF	0.351	0.178
PROS1	P07225	False	PROS_HUMAN		CPI-SS09C4988F8	0.351	0.178
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0B01CF3AB	1.346	0.331
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0DFA98A14	1.346	0.331
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0CBC7840D	0.459	0.106
