gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	cluster_1	background
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC04085F9F9	1.109	1.122
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0A54B5323	3.641	4.242
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC0ECFACED2	1.613	1.959
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC0092846B0	0.194	0.307
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC08AF9CA91	0.037	0.044
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC07E958BDE	0.305	0.192
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC08CC68F11	0.087	0.103
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC03BFF1D95	0.219	0.097
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC03ADD2063	2.017	1.23
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0674C647E	0.019	0.007
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC03D71E025	0.026	0.02
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC060984F83	0.53	0.59
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC0014D5A6E	0.403	0.486
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0D2BDC009	0.015	0.015
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC05F111D21	0.053	0.044
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC05B2AA866	0.159	0.268
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC0F73E9099	2.804	2.666
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC0BC63F8C0	3.959	5.393
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0672FBD31	0.898	0.511
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0545E2502	0.338	0.478
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC006E22794	4.137	6.195
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC0458F68A5	1.217	0.945
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC09FDA4F45	1.109	1.122
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0F4BC2909	3.641	4.242
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC02AE206BE	1.613	1.959
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC05992FDC8	0.194	0.307
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC069F95780	0.037	0.044
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC0DAD29856	0.305	0.192
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC02F06FF62	0.087	0.103
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC0F8D27FBC	0.219	0.097
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0EA3FC100	2.017	1.23
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC07FB88720	0.019	0.007
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC035953E6B	0.026	0.02
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC0BD4C290F	0.53	0.59
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC053BBE2B1	0.403	0.486
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC08BF895FC	0.015	0.015
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC0D7F33CFB	0.053	0.044
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC004A436C5	0.159	0.268
SEMA7A	O75326	False	SEM7A_HUMAN		CPI-SC0EAF80261	0.131	0.047
FN1	P02751	False	FINC_HUMAN		CPI-SC04F2478E9	13.87	45.515
THBS1	P07996	False	TSP1_HUMAN		CPI-SC02BFEEC8A	0.051	0.033
CSPG4	Q6UVK1	False	CSPG4_HUMAN		CPI-SC09938698A	0.191	0.278
FN1	P02751	False	FINC_HUMAN		CPI-SC08B2AD7C6	13.87	45.515
CD40LG	P29965	False	CD40L_HUMAN		CPI-SC0C8B4C056	0.113	0.023
PLA2G2A	P14555	False	PA2GA_HUMAN		CPI-SC062C5C6C2	4.637	8.956
FBN1	P35555	False	FBN1_HUMAN		CPI-SC058F72F90	0.596	0.694
FN1	P02751	False	FINC_HUMAN		CPI-SC092C3E4DF	13.87	45.515
TNC	P24821	False	TENA_HUMAN		CPI-SC01195CB48	0.875	1.544
FN1	P02751	False	FINC_HUMAN		CPI-SC096929DB0	13.87	45.515
FN1	P02751	False	FINC_HUMAN		CPI-SC0847A64D2	13.87	45.515
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC0EEF3A379	0.187	0.167
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC0A2FE9693	0.187	0.167
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.016	0.015
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.167	0.184
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.749	0.598
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.047	0.047
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.016	0.015
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.017	0.062
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.016	0.015
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.167	0.184
SPP1	P10451	False	OSTP_HUMAN		CPI-SC01AB9BED7	0.167	0.184
TNC	P24821	False	TENA_HUMAN		CPI-SC056BF6CBB	0.875	1.544
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC062D34C2A	0.721	1.28
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.76	0.603
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.085	0.06
THY1	P04216	False	THY1_HUMAN		CPI-SC0A05D3880	1.727	1.293
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0B6D68FD5	0.677	0.583
C3	P01024	False	CO3_HUMAN		CPI-SC0527EEE7A	5.332	3.161
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SC0F9DD28F3	0.155	0.118
THY1	P04216	False	THY1_HUMAN		CPI-SC0C6B54D7A	1.727	1.293
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0A9458008	0.677	0.583
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.049	0.025
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.155	0.118
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	1.463	1.334
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.03	0.036
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.03	0.036
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	37.939	32.691
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.03	0.036
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.813	0.878
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.733	0.45
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.03	0.036
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	37.939	32.691
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.03	0.036
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	1.238	0.961
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.533	0.485
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.546	0.368
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.481	0.137
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	37.939	32.691
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.677	0.583
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.677	0.583
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0F4AC5AA2	0.677	0.583
ICAM2	P13598	False	ICAM2_HUMAN		CPI-SC063BC3DDE	0.724	0.509
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SC0329D5397	1.196	0.653
ICAM4	Q14773	False	ICAM4_HUMAN		CPI-SC092659F65	0.035	0.025
F11R	Q9Y624	False	JAM1_HUMAN		CPI-SC08923F7F7	0.114	0.061
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.128	0.17
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.142	0.166
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.128	0.17
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.142	0.166
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.038	0.02
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.128	0.17
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.038	0.02
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.034	0.022
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	0.128	0.17
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	0.142	0.166
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	0.142	0.166
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.049	0.026
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.476	0.562
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0A3569604	0.083	0.069
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0579FA162	0.083	0.069
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.102	0.093
IGF2	P01344	False	IGF2_HUMAN		CPI-SS042A6F835	0.083	0.069
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	5.642	6.523
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.5	0.403
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	0.097	0.037
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.153	0.11
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.159	0.06
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	0.749	0.598
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.159	0.06
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.159	0.06
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	1.641	1.778
TNF	P01375	False	TNFA_HUMAN		CPI-SS09C917D22	0.159	0.06
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.159	0.06
ICOSLG	O75144	False	ICOSL_HUMAN		CPI-SS0E4B1484B	0.111	0.052
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.159	0.06
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.159	0.06
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.159	0.06
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.159	0.06
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.48	0.408
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS003610FF9	0.158	0.068
CCRL2	O00421	False	CCRL2_HUMAN		CPI-SS056BE1011	0.057	0.06
CCR7	P32248	False	CCR7_HUMAN		CPI-SS098EFF959	0.912	0.222
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0DBA4D668	0.025	0.01
ACKR3	P25106	False	ACKR3_HUMAN		CPI-SS07155793F	0.379	0.777
CD40	P25942	False	TNR5_HUMAN		CPI-SS083296041	0.546	0.368
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	0.802	0.806
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.36	0.169
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS05FEE05CB	0.065	0.031
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0C4D54E39	0.87	0.485
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.36	0.169
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.453	0.317
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0CF0E4DE9	0.255	0.276
CCL2	P13500	False	CCL2_HUMAN		CPI-SS08B249DBA	0.255	0.276
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	0.337	0.422
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	0.088	0.101
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	0.337	0.422
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0EFE0B07A	1.592	1.712
CCL21	O00585	False	CCL21_HUMAN		CPI-SS06C0074BD	2.427	0.386
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BC7CD11B	0.749	0.598
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.749	0.598
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.07	0.054
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	0.32	0.294
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	0.749	0.598
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	0.316	0.387
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0A9FB762A	0.749	0.598
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	0.749	0.598
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS08877A081	0.749	0.598
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	0.749	0.598
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	0.749	0.598
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	0.32	0.294
WISP3	O95389	False	WISP3_HUMAN		CPI-SS0D3C90DDA	0.038	0.019
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS048346C2B	0.749	0.598
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	0.07	0.054
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0FEEB187C	0.07	0.054
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	0.023	0.031
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SC033E22B14	0.07	0.054
GDF11	O95390	False	GDF11_HUMAN		CPI-SS0331C5A49	0.073	0.044
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS0179FBFD3	0.05	0.021
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0898D7F7F	0.171	0.105
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS07833475A	0.292	0.306
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.05	0.036
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	0.03	0.022
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.05	0.065
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.023	0.019
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.156	0.106
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0837E9F59	0.156	0.106
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	0.156	0.106
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0BFB29A42	1.641	1.778
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS08FAC0A55	1.641	1.778
PLXNB1	O43157	False	PLXB1_HUMAN		CPI-SS0CCCF7C69	0.06	0.039
CD72	P21854	False	CD72_HUMAN		CPI-SS06AA638A8	0.427	0.211
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	0.122	0.105
MIF	P14174	False	MIF_HUMAN		CPI-SS02ACCF1F7	0.236	0.168
BTLA	Q7Z6A9	False	BTLA_HUMAN		CPI-SS08330207B	0.076	0.022
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS095E52E66	0.48	0.408
MIF	P14174	False	MIF_HUMAN		CPI-SS059EEFDC6	0.236	0.168
GDF11	O95390	False	GDF11_HUMAN		CPI-SC001669E22	0.073	0.044
GDF11	O95390	False	GDF11_HUMAN		CPI-SC017215F7F	0.073	0.044
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SC098C06330	0.76	0.603
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0D5CFA431	0.085	0.06
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SC0984894BC	0.76	0.603
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0077CEB82	0.085	0.06
CCR2	P41597	False	CCR2_HUMAN		CPI-SS09AFCF898	0.104	0.049
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0F8C2FA91	0.045	0.063
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0DFAF1FE2	0.104	0.069
CCR2	P41597	False	CCR2_HUMAN		CPI-SS0C98C08DA	0.104	0.049
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0B887F7AC	0.045	0.063
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	1.592	1.712
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	0.008	0.013
IGF1	P05019	False	IGF1_HUMAN		CPI-SC0A68C5F13	0.102	0.093
TNFSF11	O14788	False	TNF11_HUMAN		CPI-SS0ED2573CA	0.015	0.024
PLD2	O14939	False	PLD2_HUMAN		CPI-SS06A999D25	0.16	0.141
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	0.28	0.202
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS090FC28E1	0.18	0.079
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0B9E8C0DE	0.066	0.078
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.18	0.079
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0111AAD26	0.066	0.078
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.087	0.075
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.032	0.012
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0586F2596	0.066	0.078
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.023	0.019
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.476	0.562
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SS0A2949959	1.196	0.653
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS079DDF890	0.209	0.17
TNFSF15	O95150	False	TNF15_HUMAN		CPI-SS0B0CF0EDF	0.031	0.061
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.209	0.17
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.122	0.105
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS02371A6D6	0.122	0.105
PLXNC1	O60486	False	PLXC1_HUMAN		CPI-SS02B567BC7	0.103	0.072
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS0A874F65F	0.014	0.024
LRP6	O75581	False	LRP6_HUMAN		CPI-SS05B1FA8A8	0.019	0.016
COPA	P53621	False	COPA_HUMAN		CPI-SS065F7DA2A	0.5	0.403
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS09A3FA737	0.122	0.135
C3	P01024	False	CO3_HUMAN		CPI-SS03E48EFEA	5.332	3.161
ADORA3	P0DMS8	False	AA3R_HUMAN		CPI-SS0FF6CFDCA	0.026	0.066
ADORA1	P30542	False	AA1R_HUMAN		CPI-SS03E7587E4	0.031	0.038
C5	P01031	False	CO5_HUMAN		CPI-SS00581282E	0.031	0.025
C5	P01031	False	CO5_HUMAN		CPI-SS0A7E3A1AF	0.031	0.025
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	0.795	1.026
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS06CCF5A54	0.795	1.026
CD2	P06729	False	CD2_HUMAN		CPI-SS00B1BEE64	1.144	0.414
PROS1	P07225	False	PROS_HUMAN		CPI-SS0C85BC9AF	0.071	0.115
PROS1	P07225	False	PROS_HUMAN		CPI-SS09C4988F8	0.071	0.115
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0B01CF3AB	1.662	1.812
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0DFA98A14	1.662	1.812
PTPRC	P08575	False	PTPRC_HUMAN		CPI-SS0CBC7840D	0.785	0.33
