gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	cluster_1_seropositive	cluster_1_seronegative
NRP1	O14786	True	NRP1_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.128	0.105
NRP1	O14786	True	NRP1_HUMAN	PlexinA4_complex1	CPI-CS0AB19226A	0.02	0.037
PLXNA2	O75051	True	PLXA2_HUMAN	PlexinA2_complex1	CPI-CS0D238C22B	0.033	0.049
PLXNA3	P51805	True	PLXA3_HUMAN	PlexinA3_complex1	CPI-CS0AA769F5B	0.128	0.105
PLXNA4	Q9HCM2	True	PLXA4_HUMAN	PlexinA4_complex1	CPI-CS0AB19226A	0.02	0.037
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.054	0.035
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.054	0.035
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.054	0.035
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.203	0.194
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.086	0.049
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.017	0.009
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.203	0.194
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.203	0.194
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC07ECBFCA7	2.804	3.325
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC067433F6B	3.959	12.693
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0B6F1A278	0.898	1.566
FN1	P02751	False	FINC_HUMAN		CPI-SC0D19BAF15	13.87	59.733
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0F516B854	0.338	0.697
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC011F01833	4.137	8.243
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC0FA79E269	1.217	1.119
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC02B111AB0	1.109	1.312
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0CE851065	3.641	3.59
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC07375C073	1.613	2.934
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC041DEF0FB	0.194	0.376
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC0C907A888	0.037	0.074
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC08B1D5269	0.305	0.464
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC0F8101D41	0.087	0.373
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC08E75294D	0.219	0.234
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0017F527E	2.017	1.219
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0A3F146C2	0.019	0.012
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC008F4294F	0.026	0.017
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC015980AEB	0.53	1.554
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC0F94B2CF9	0.403	0.681
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0725E3A76	0.015	0.02
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC0C9CBDD21	0.053	0.06
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC02131C05A	0.159	0.576
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC0F7E26271	2.804	3.325
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC0A8902C85	3.959	12.693
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0A0532ADC	0.898	1.566
FN1	P02751	False	FINC_HUMAN		CPI-SC0CFF5E19D	13.87	59.733
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0DF641DAA	0.338	0.697
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC0681D30FE	4.137	8.243
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC02017BE74	1.217	1.119
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC04085F9F9	1.109	1.312
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0A54B5323	3.641	3.59
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC0ECFACED2	1.613	2.934
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC0092846B0	0.194	0.376
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC08AF9CA91	0.037	0.074
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC07E958BDE	0.305	0.464
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC08CC68F11	0.087	0.373
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC03BFF1D95	0.219	0.234
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC03ADD2063	2.017	1.219
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC0674C647E	0.019	0.012
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC03D71E025	0.026	0.017
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC060984F83	0.53	1.554
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC0014D5A6E	0.403	0.681
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC0D2BDC009	0.015	0.02
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC05F111D21	0.053	0.06
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC05B2AA866	0.159	0.576
COL1A1	P02452	False	CO1A1_HUMAN		CPI-SC0F73E9099	2.804	3.325
COL3A1	P02461	False	CO3A1_HUMAN		CPI-SC0BC63F8C0	3.959	12.693
COL4A1	P02462	False	CO4A1_HUMAN		CPI-SC0672FBD31	0.898	1.566
COL5A2	P05997	False	CO5A2_HUMAN		CPI-SC0545E2502	0.338	0.697
COL1A2	P08123	False	CO1A2_HUMAN		CPI-SC006E22794	4.137	8.243
COL4A2	P08572	False	CO4A2_HUMAN		CPI-SC0458F68A5	1.217	1.119
COL6A1	P12109	False	CO6A1_HUMAN		CPI-SC09FDA4F45	1.109	1.312
COL6A2	P12110	False	CO6A2_HUMAN		CPI-SC0F4BC2909	3.641	3.59
COL6A3	P12111	False	CO6A3_HUMAN		CPI-SC02AE206BE	1.613	2.934
COL5A1	P20908	False	CO5A1_HUMAN		CPI-SC05992FDC8	0.194	0.376
COL8A2	P25067	False	CO8A2_HUMAN		CPI-SC069F95780	0.037	0.074
COL5A3	P25940	False	CO5A3_HUMAN		CPI-SC0DAD29856	0.305	0.464
COL8A1	P27658	False	CO8A1_HUMAN		CPI-SC02F06FF62	0.087	0.373
COL15A1	P39059	False	COFA1_HUMAN		CPI-SC0F8D27FBC	0.219	0.234
COL18A1	P39060	False	COIA1_HUMAN		CPI-SC0EA3FC100	2.017	1.219
COL4A3	Q01955	False	CO4A3_HUMAN		CPI-SC07FB88720	0.019	0.012
COL7A1	Q02388	False	CO7A1_HUMAN		CPI-SC035953E6B	0.026	0.017
COL14A1	Q05707	False	COEA1_HUMAN		CPI-SC0BD4C290F	0.53	1.554
COL16A1	Q07092	False	COGA1_HUMAN		CPI-SC053BBE2B1	0.403	0.681
COL13A1	Q5TAT6	False	CODA1_HUMAN		CPI-SC08BF895FC	0.015	0.02
COL27A1	Q8IZC6	False	CORA1_HUMAN		CPI-SC0D7F33CFB	0.053	0.06
COL12A1	Q99715	False	COCA1_HUMAN		CPI-SC004A436C5	0.159	0.576
SEMA7A	O75326	False	SEM7A_HUMAN		CPI-SC0EAF80261	0.131	0.027
FN1	P02751	False	FINC_HUMAN		CPI-SC04F2478E9	13.87	59.733
THBS1	P07996	False	TSP1_HUMAN		CPI-SC02BFEEC8A	0.051	0.146
CSPG4	Q6UVK1	False	CSPG4_HUMAN		CPI-SC09938698A	0.191	0.494
FN1	P02751	False	FINC_HUMAN		CPI-SC08B2AD7C6	13.87	59.733
CD40LG	P29965	False	CD40L_HUMAN		CPI-SC0C8B4C056	0.113	0.024
PLA2G2A	P14555	False	PA2GA_HUMAN		CPI-SC062C5C6C2	4.637	5.535
FBN1	P35555	False	FBN1_HUMAN		CPI-SC058F72F90	0.596	0.931
FN1	P02751	False	FINC_HUMAN		CPI-SC092C3E4DF	13.87	59.733
TNC	P24821	False	TENA_HUMAN		CPI-SC01195CB48	0.875	1.774
FN1	P02751	False	FINC_HUMAN		CPI-SC096929DB0	13.87	59.733
FN1	P02751	False	FINC_HUMAN		CPI-SC0847A64D2	13.87	59.733
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC0EEF3A379	0.187	0.193
LAMC1	P11047	False	LAMC1_HUMAN		CPI-SC0A2FE9693	0.187	0.193
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.016	0.042
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.167	0.373
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.749	0.562
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.047	0.102
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	0.016	0.042
FGF10	O15520	False	FGF10_HUMAN		CPI-SS03189F5F6	0.017	0.068
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.016	0.042
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.167	0.373
SPP1	P10451	False	OSTP_HUMAN		CPI-SC01AB9BED7	0.167	0.373
TNC	P24821	False	TENA_HUMAN		CPI-SC056BF6CBB	0.875	1.774
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC062D34C2A	0.721	2.339
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.76	0.439
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.085	0.093
THY1	P04216	False	THY1_HUMAN		CPI-SC0A05D3880	1.727	1.462
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0B6D68FD5	0.677	0.645
C3	P01024	False	CO3_HUMAN		CPI-SC0527EEE7A	5.332	3.987
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SC0F9DD28F3	0.155	0.126
THY1	P04216	False	THY1_HUMAN		CPI-SC0C6B54D7A	1.727	1.462
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0A9458008	0.677	0.645
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.049	0.059
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.155	0.126
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	1.463	0.938
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.03	0.113
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.03	0.113
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	37.939	17.978
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.03	0.113
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.813	0.825
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.733	0.295
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.03	0.113
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	37.939	17.978
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.03	0.113
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	1.238	1.751
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.533	0.275
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.546	0.496
TNFRSF13C	Q96RJ3	False	TR13C_HUMAN		CPI-SS09648FAA9	0.481	0.022
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	37.939	17.978
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.677	0.645
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.677	0.645
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SC0F4AC5AA2	0.677	0.645
ICAM2	P13598	False	ICAM2_HUMAN		CPI-SC063BC3DDE	0.724	0.172
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SC0329D5397	1.196	0.305
ICAM4	Q14773	False	ICAM4_HUMAN		CPI-SC092659F65	0.035	0.009
F11R	Q9Y624	False	JAM1_HUMAN		CPI-SC08923F7F7	0.114	0.061
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.128	0.287
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.142	0.236
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.128	0.287
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.142	0.236
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.038	0.06
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.128	0.287
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.038	0.06
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.034	0.02
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	0.128	0.287
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	0.142	0.236
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	0.142	0.236
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.049	0.055
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.476	0.69
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0A3569604	0.083	0.059
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0579FA162	0.083	0.059
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.102	0.568
IGF2	P01344	False	IGF2_HUMAN		CPI-SS042A6F835	0.083	0.059
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	5.642	3.955
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.5	0.679
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	0.097	0.105
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.153	0.333
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.159	0.058
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	0.749	0.562
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.159	0.058
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.159	0.058
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	1.641	1.411
TNF	P01375	False	TNFA_HUMAN		CPI-SS09C917D22	0.159	0.058
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.159	0.058
ICOSLG	O75144	False	ICOSL_HUMAN		CPI-SS0E4B1484B	0.111	0.048
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.159	0.058
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.159	0.058
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.159	0.058
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.159	0.058
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.48	0.612
CXCR3	P49682	False	CXCR3_HUMAN		CPI-SS003610FF9	0.158	0.052
CCRL2	O00421	False	CCRL2_HUMAN		CPI-SS056BE1011	0.057	0.058
CCR7	P32248	False	CCR7_HUMAN		CPI-SS098EFF959	0.912	0.097
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0DBA4D668	0.025	0.027
ACKR3	P25106	False	ACKR3_HUMAN		CPI-SS07155793F	0.379	0.557
CD40	P25942	False	TNR5_HUMAN		CPI-SS083296041	0.546	0.496
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS02770D68F	0.802	1.045
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS08C3D27F7	0.36	0.174
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS05FEE05CB	0.065	0.036
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0C4D54E39	0.87	0.505
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.36	0.174
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.453	0.466
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0CF0E4DE9	0.255	0.818
CCL2	P13500	False	CCL2_HUMAN		CPI-SS08B249DBA	0.255	0.818
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	0.337	1.358
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	0.088	0.037
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS080683E15	0.337	1.358
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0EFE0B07A	1.592	5.558
CCL21	O00585	False	CCL21_HUMAN		CPI-SS06C0074BD	2.427	0.064
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BC7CD11B	0.749	0.562
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.749	0.562
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.07	0.123
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	0.32	0.315
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	0.749	0.562
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	0.316	0.563
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0A9FB762A	0.749	0.562
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	0.749	0.562
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS08877A081	0.749	0.562
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	0.749	0.562
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	0.749	0.562
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	0.32	0.315
WISP3	O95389	False	WISP3_HUMAN		CPI-SS0D3C90DDA	0.038	0.126
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS048346C2B	0.749	0.562
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	0.07	0.123
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0FEEB187C	0.07	0.123
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	0.023	0.051
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SC033E22B14	0.07	0.123
GDF11	O95390	False	GDF11_HUMAN		CPI-SS0331C5A49	0.073	0.038
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS0179FBFD3	0.05	0.019
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0898D7F7F	0.171	0.126
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS07833475A	0.292	0.4
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.05	0.047
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	0.03	0.023
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.05	0.071
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.023	0.024
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.156	0.217
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0837E9F59	0.156	0.217
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	0.156	0.217
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0BFB29A42	1.641	1.411
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS08FAC0A55	1.641	1.411
PLXNB1	O43157	False	PLXB1_HUMAN		CPI-SS0CCCF7C69	0.06	0.052
CD72	P21854	False	CD72_HUMAN		CPI-SS06AA638A8	0.427	0.032
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	0.122	0.107
MIF	P14174	False	MIF_HUMAN		CPI-SS02ACCF1F7	0.236	0.31
BTLA	Q7Z6A9	False	BTLA_HUMAN		CPI-SS08330207B	0.076	0.013
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS095E52E66	0.48	0.612
MIF	P14174	False	MIF_HUMAN		CPI-SS059EEFDC6	0.236	0.31
GDF11	O95390	False	GDF11_HUMAN		CPI-SC001669E22	0.073	0.038
GDF11	O95390	False	GDF11_HUMAN		CPI-SC017215F7F	0.073	0.038
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SC098C06330	0.76	0.439
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0D5CFA431	0.085	0.093
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SC0984894BC	0.76	0.439
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SC0077CEB82	0.085	0.093
CCR2	P41597	False	CCR2_HUMAN		CPI-SS09AFCF898	0.104	0.194
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0F8C2FA91	0.045	0.122
CCR5	P51681	False	CCR5_HUMAN		CPI-SS0DFAF1FE2	0.104	0.075
CCR2	P41597	False	CCR2_HUMAN		CPI-SS0C98C08DA	0.104	0.194
CCR1	P32246	False	CCR1_HUMAN		CPI-SS0B887F7AC	0.045	0.122
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	1.592	5.558
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	0.008	0.018
IGF1	P05019	False	IGF1_HUMAN		CPI-SC0A68C5F13	0.102	0.568
TNFSF11	O14788	False	TNF11_HUMAN		CPI-SS0ED2573CA	0.015	0.026
PLD2	O14939	False	PLD2_HUMAN		CPI-SS06A999D25	0.16	0.104
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	0.28	0.19
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS090FC28E1	0.18	0.031
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0B9E8C0DE	0.066	0.078
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.18	0.031
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0111AAD26	0.066	0.078
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.087	0.024
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.032	0.028
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0586F2596	0.066	0.078
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.023	0.024
CSF1	P09603	False	CSF1_HUMAN		CPI-SS068C129D6	0.476	0.69
ICAM3	P32942	False	ICAM3_HUMAN		CPI-SS0A2949959	1.196	0.305
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS079DDF890	0.209	0.201
TNFSF15	O95150	False	TNF15_HUMAN		CPI-SS0B0CF0EDF	0.031	0.102
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.209	0.201
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	0.122	0.107
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS02371A6D6	0.122	0.107
PLXNC1	O60486	False	PLXC1_HUMAN		CPI-SS02B567BC7	0.103	0.082
LGR4	Q9BXB1	False	LGR4_HUMAN		CPI-SS0A874F65F	0.014	0.055
LRP6	O75581	False	LRP6_HUMAN		CPI-SS05B1FA8A8	0.019	0.045
COPA	P53621	False	COPA_HUMAN		CPI-SS065F7DA2A	0.5	0.679
NAMPT	P43490	False	NAMPT_HUMAN		CPI-SS09A3FA737	0.122	0.439
C3	P01024	False	CO3_HUMAN		CPI-SS03E48EFEA	5.332	3.987
ADORA3	P0DMS8	False	AA3R_HUMAN		CPI-SS0FF6CFDCA	0.026	0.184
ADORA1	P30542	False	AA1R_HUMAN		CPI-SS03E7587E4	0.031	0.037
C5	P01031	False	CO5_HUMAN		CPI-SS00581282E	0.031	0.02
C5	P01031	False	CO5_HUMAN		CPI-SS0A7E3A1AF	0.031	0.02
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS0F739D3DB	0.795	1.77
ANXA1	P04083	False	ANXA1_HUMAN		CPI-SS06CCF5A54	0.795	1.77
CD2	P06729	False	CD2_HUMAN		CPI-SS00B1BEE64	1.144	0.232
PROS1	P07225	False	PROS_HUMAN		CPI-SS0C85BC9AF	0.071	0.351
PROS1	P07225	False	PROS_HUMAN		CPI-SS09C4988F8	0.071	0.351
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0B01CF3AB	1.662	1.347
CSF1R	P07333	False	CSF1R_HUMAN		CPI-SS0DFA98A14	1.662	1.347
